n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
30,5,1,1,0.1,0.5,1,0,71.0,0.0,71,71
30,10,1,1,0.1,0.5,1,0,71.0,0.0,71,71
60,5,1,1,0.1,0.5,1,0,71.0,0.0,71,71
60,10,1,1,0.1,0.5,1,0,71.0,0.0,71,71
30,5,1,1,0.1,0.5,1,5,71.0,0.0,71,71
30,10,1,1,0.1,0.5,1,5,71.0,0.0,71,71
60,5,1,1,0.1,0.5,1,5,71.0,0.0,71,71
60,10,1,1,0.1,0.5,1,5,71.0,0.0,71,71
30,5,1,2,0.1,0.5,1,0,71.0,0.0,71,71
30,10,1,2,0.1,0.5,1,0,71.0,0.0,71,71
60,5,1,2,0.1,0.5,1,0,71.0,0.0,71,71
60,10,1,2,0.1,0.5,1,0,71.0,0.0,71,71
30,5,1,2,0.1,0.5,1,5,71.0,0.0,71,71
30,10,1,2,0.1,0.5,1,5,71.0,0.0,71,71
60,5,1,2,0.1,0.5,1,5,71.0,0.0,71,71
60,10,1,2,0.1,0.5,1,5,71.0,0.0,71,71
